"","Sex","Age_group","i_cases","d_cases","age_group_by","projection","cfr","incidence","age_specific_mortality","Estimate","Estimate_m","CI_fm","CI_f","CI_0","TI_m","TI","IFR","IFR_m","pD"
"1","F","00-09",11125,19,"age_group_10",658432,0.170786516853933,168.962018856921,0.28856434681182,NA,32.5232135414825,214143.245385454,NA,12180.992,201962.253385454,NA,NA,0.00940769855827348,0.0550845507688381
"2","F","10-19",9616,0,"age_group_10",597286,0,160.994900265534,0,44.4444444444444,32.5232135414825,194256.601233379,265460.444444444,11049.791,183206.810233379,254410.653444444,0,0,0.0524871318252339
"3","F","20-29",13783,1,"age_group_10",589348,0.00725531451788435,233.868614129513,0.0169679035137135,33.6065573770492,32.5232135414825,191674.908542456,198059.573770492,10902.938,180771.970542456,187156.635770492,0.000534311805661163,0.000553183105212176,0.0762452273913942
"4","F","30-39",13722,2,"age_group_10",537003,0.0145751348199971,255.529298719002,0.0372437397928876,28.9855072463768,32.5232135414825,174650.632414167,155653.043478261,9934.5555,164716.076914167,145718.487978261,0.0013725094377169,0.00121421056005492,0.0833069865253679
"5","F","40-49",9786,6,"age_group_10",384177,0.0613120784794605,254.726337079003,0.156178011697733,30.6818181818182,32.5232135414825,124946.706087261,117872.488636364,7107.2745,117839.431587261,110765.214136364,0.00541686308899594,0.00509167425468863,0.0830452070939715
"6","F","50-59",8482,9,"age_group_10",298341,0.106107050224004,284.305542986046,0.301668225285831,18.75,32.5232135414825,97030.0805117944,55938.9375,5519.3085,91510.7720117944,50419.629,0.0178501908453154,0.00983490774052265,0.0926885416167924
"7","F","60-69",7453,14,"age_group_10",203517,0.187843821280021,366.210193743029,0.687903221843875,33.3333333333333,32.5232135414825,66190.268503219,67839,3765.0645,62425.204003219,64073.9355,0.0218497582374974,0.0224268390044478,0.119390879357249
"8","F","70-79",4854,31,"age_group_10",105465,0.638648537288834,460.247475465794,2.93936376997108,NA,32.5232135414825,34300.6071615245,NA,1951.1025,32349.5046615245,NA,NA,0.0958283606638045,0.150048665374873
"9","F","80-89",2165,28,"age_group_10",38678,1.2933025404157,559.749728527845,7.23925745902063,NA,32.5232135414825,12579.3285335746,NA,715.543,11863.7855335746,NA,NA,0.236012358119251,0.182488126902921
"10","F","90+",497,12,"age_group_10",7543,2.41448692152917,658.889036192496,15.9087896062575,NA,32.5232135414825,2453.22599743403,NA,139.5455,2313.68049743403,NA,NA,0.518654153557871,0.214809261931885
"11","F","90+",497,12,"age_group_10",326,2.41448692152917,15245.3987730061,368.098159509202,NA,32.5232135414825,106.025676145233,NA,6.031,99.994676145233,NA,NA,12.000638896586,4.97026460966935
"12","M","00-09",12344,33,"age_group_10",689063,0.267336357744653,179.141820123849,0.478911217116577,NA,32.5232135414825,224105.430925346,NA,12747.6655,211357.765425346,NA,NA,0.0156133369093817,0.0584033426695177
"13","M","10-19",10238,3,"age_group_10",623876,0.0293025981637038,164.103123056505,0.048086478723336,14.2857142857143,32.5232135414825,202904.52371406,89125.1428571429,11541.706,191362.81771406,77583.4368571428,0.00386680472215224,0.00156770266859401,0.0535004664035515
"14","M","20-29",8906,0,"age_group_10",609804,0,146.04692655345,0,38.9830508474576,32.5232135414825,198327.857104502,237720.203389831,11281.374,187046.483104502,226438.82938983,0,0,0.0476138329477398
"15","M","30-39",8217,5,"age_group_10",546939,0.0608494584398199,150.236132365767,0.0914178729254999,31.2796208530806,32.5232135414825,177882.138911649,171080.44549763,10118.3715,167763.767411649,160962.07399763,0.00310632180352846,0.00298038132854473,0.0489795867533041
"16","M","40-49",5887,5,"age_group_10",386195,0.0849329030066248,152.435945571538,0.129468273799505,40.1709401709402,32.5232135414825,125603.024536528,155138.162393162,7144.6075,118458.417036528,147993.554893162,0.00337852550647191,0.00422089043994077,0.0496967640398627
"17","M","50-59",4922,18,"age_group_10",285628,0.365704997968306,172.322041256459,0.630190317475878,42.4242424242424,32.5232135414825,92895.4043742657,121175.515151515,5284.118,87611.2863742657,115891.397151515,0.0155317827228081,0.0205452981515486,0.0561799763899569
"18","M","60-69",5063,25,"age_group_10",178157,0.493778392257555,284.187542448515,1.40325667809853,33.3333333333333,32.5232135414825,57942.381549099,59385.6666666667,3295.9045,54646.477049099,56089.7621666667,0.0445714138093763,0.0457486032952095,0.0926500713934582
"19","M","70-79",3599,49,"age_group_10",89825,1.36148930258405,400.66796548845,5.4550514890064,NA,32.5232135414825,29213.9765636367,NA,1661.7625,27552.2140636367,NA,NA,0.177844146705691,0.130624711019139
"20","M","80-89",1508,29,"age_group_10",28207,1.92307692307692,534.619066189244,10.2811358882547,NA,32.5232135414825,9173.82284364598,NA,521.8295,8651.99334364598,NA,NA,0.335182874606551,0.174295094795406
"21","M","90+",242,9,"age_group_10",3598,3.71900826446281,672.595886603669,25.0138966092273,NA,32.5232135414825,1170.18522322254,NA,66.563,1103.62222322254,NA,NA,0.81549644530719,0.219277933071489
"22","M","90+",242,9,"age_group_10",106,3.71900826446281,22830.1886792453,849.056603773585,NA,32.5232135414825,34.4746063539715,NA,1.961,32.5136063539715,NA,NA,27.680718964295,7.44303776595487
