"parameter","prior","posterior","ess","r_hat"
"Reporting","Uniform [0,1]","0.0444 (95%CI: 0.0403-0.048)",605,1.12
"Transmission rate - week 01","Uniform [0,10]","0.693 (95%CI: 0.293-1.39)",33.1,1.42
"Transmission rate - week 02","Uniform [0,10]","0.47 (95%CI: 0.149-1.22)",51,3.59
"Transmission rate - week 03","Uniform [0,10]","0.872 (95%CI: 0.349-2.46)",28,3.28
"Transmission rate - week 04","Uniform [0,10]","0.692 (95%CI: 0.193-1.37)",31.8,1.92
"Transmission rate - week 05","Uniform [0,10]","0.581 (95%CI: 0.186-1.04)",55.5,2.45
"Transmission rate - week 06","Uniform [0,10]","0.513 (95%CI: 0.266-0.875)",68.3,1.19
"Transmission rate - week 07","Uniform [0,10]","0.991 (95%CI: 0.457-1.53)",18.2,2.53
"Transmission rate - week 08","Uniform [0,10]","0.73 (95%CI: 0.393-1.19)",51.4,1.91
"Transmission rate - week 09","Uniform [0,10]","0.727 (95%CI: 0.469-1.17)",24,1.34
"Transmission rate - week 10","Uniform [0,10]","0.882 (95%CI: 0.556-1.35)",44.7,1.95
"Transmission rate - week 11","Uniform [0,10]","0.85 (95%CI: 0.545-1.16)",88.5,1.75
"Transmission rate - week 12","Uniform [0,10]","1.18 (95%CI: 0.935-1.65)",69.5,1.52
"Transmission rate - week 13","Uniform [0,10]","1.12 (95%CI: 0.795-1.42)",124,1.2
"Transmission rate - week 14","Uniform [0,10]","0.896 (95%CI: 0.731-1.1)",220,1.15
"Transmission rate - week 15","Uniform [0,10]","0.962 (95%CI: 0.819-1.11)",239,1.07
"Transmission rate - week 16","Uniform [0,10]","0.898 (95%CI: 0.79-1.03)",363,1.02
"Transmission rate - week 17","Uniform [0,10]","0.999 (95%CI: 0.895-1.11)",439,1.01
"Transmission rate - week 18","Uniform [0,10]","0.959 (95%CI: 0.862-1.06)",615,1.01
"Transmission rate - week 19","Uniform [0,10]","0.933 (95%CI: 0.845-1.02)",696,1.01
"Transmission rate - week 20","Uniform [0,10]","0.891 (95%CI: 0.814-0.974)",1010,1.01
"Transmission rate - week 21","Uniform [0,10]","0.84 (95%CI: 0.768-0.911)",1290,1.01
"Transmission rate - week 22","Uniform [0,10]","0.767 (95%CI: 0.706-0.837)",1970,1
"Transmission rate - week 23","Uniform [0,10]","0.711 (95%CI: 0.657-0.767)",1770,1
"Transmission rate - week 24","Uniform [0,10]","0.656 (95%CI: 0.608-0.709)",1800,1
"Transmission rate - week 25","Uniform [0,10]","0.618 (95%CI: 0.572-0.666)",3090,1.01
"Transmission rate - week 26","Uniform [0,10]","0.61 (95%CI: 0.565-0.658)",2170,1.02
"Transmission rate - week 27","Uniform [0,10]","0.609 (95%CI: 0.564-0.657)",5320,1.02
"Transmission rate - week 28","Uniform [0,10]","0.617 (95%CI: 0.572-0.667)",2140,1.03
"Transmission rate - week 29","Uniform [0,10]","0.599 (95%CI: 0.552-0.648)",2270,1.01
"Transmission rate - week 30","Uniform [0,10]","0.565 (95%CI: 0.522-0.615)",1550,1.02
"Transmission rate - week 31","Uniform [0,10]","0.529 (95%CI: 0.488-0.575)",1150,1.02
"Transmission rate - week 32","Uniform [0,10]","0.477 (95%CI: 0.438-0.521)",1340,1.02
"Transmission rate - week 33","Uniform [0,10]","0.409 (95%CI: 0.376-0.448)",2020,1.05
"Transmission rate - week 34","Uniform [0,10]","0.411 (95%CI: 0.377-0.451)",1140,1.03
"Transmission rate - week 35","Uniform [0,10]","0.424 (95%CI: 0.387-0.465)",1470,1.05
"Transmission rate - week 36","Uniform [0,10]","0.395 (95%CI: 0.359-0.436)",1600,1.03
"Transmission rate - week 37","Uniform [0,10]","0.376 (95%CI: 0.341-0.417)",1260,1.03
"Transmission rate - week 38","Uniform [0,10]","0.375 (95%CI: 0.338-0.416)",1270,1.03
"Transmission rate - week 39","Uniform [0,10]","0.342 (95%CI: 0.305-0.383)",1570,1.02
"Transmission rate - week 40","Uniform [0,10]","0.356 (95%CI: 0.317-0.401)",1880,1.03
"Transmission rate - week 41","Uniform [0,10]","0.321 (95%CI: 0.282-0.363)",1390,1.02
"Transmission rate - week 42","Uniform [0,10]","0.312 (95%CI: 0.271-0.36)",1370,1.02
"Transmission rate - week 43","Uniform [0,10]","0.283 (95%CI: 0.241-0.333)",1500,1.01
"Transmission rate - week 44","Uniform [0,10]","0.246 (95%CI: 0.203-0.296)",2210,1.01
"Transmission rate - week 45","Uniform [0,10]","0.248 (95%CI: 0.2-0.306)",1650,1
"Transmission rate - week 46","Uniform [0,10]","0.277 (95%CI: 0.218-0.347)",1950,1.01
"Transmission rate - week 47","Uniform [0,10]","0.231 (95%CI: 0.171-0.304)",3870,1
"Transmission rate - week 48","Uniform [0,10]","0.209 (95%CI: 0.145-0.291)",2870,1
"Transmission rate - week 49","Uniform [0,10]","0.188 (95%CI: 0.118-0.282)",3320,1
"Transmission rate - week 50","Uniform [0,10]","0.226 (95%CI: 0.135-0.348)",1830,1
"Transmission rate - week 51","Uniform [0,10]","0.244 (95%CI: 0.139-0.394)",3310,1
"Transmission rate - week 52","Uniform [0,10]","0.221 (95%CI: 0.109-0.395)",2770,1
"Transmission rate - week 53","Uniform [0,10]","0.206 (95%CI: 0.0884-0.423)",4550,1
"Transmission rate - week 54","Uniform [0,10]","0.161 (95%CI: 0.047-0.409)",4640,1
"Transmission rate - week 55","Uniform [0,10]","0.238 (95%CI: 0.0703-0.578)",3540,1
